id,product_name,product_price,product_category,product_desc,product_subcat
767,Herbal Tea Infuser,9.99,Kitchen,Infuser for brewing loose-leaf herbal teas easily.,Coffee Equipment
768,Fitness Resistance Bands Kit,29.99,Fitness,Set with various resistance bands for workouts.,Strength Training Equipment
769,Chopping Board,29.99,Kitchen,Reversible bamboo chopping board for food prep.,Cutting Boards & Utensils
770,Mango Chili Salsa,4.29,Food - Condiments,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",Salsas
771,Solar Charger,39.99,Electronics,Portable solar charger for outdoor adventures.,Portable Power Solutions
772,High-Pressure Handheld Shower Head,39.99,Bathroom,Shower head designed for a strong spray and complete coverage.,Shower Accessories
773,Organic Coconut Oil,8.99,Food - Oils,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care.",Oils
774,Fridge Magnet Set,15.99,Home,Fun fridge magnets to decorate your kitchen.,Kitchen Accessories
775,Pet Bed,39.99,Pets,Comfortable pet bed for small to medium-sized dogs.,Pet Accessories
776,Coconut Lime Rice,2.99,Food - Sides,"Flavorful rice mixed with coconut and lime, a tropical side dish.",Grains
777,Snack Container Set,19.99,Kitchen,Stackable containers for organizing snacks and treats.,Food Storage & Organization
778,Tuna Fish (canned),2.29,Food - Canned Goods,"Wild-caught tuna in olive oil, perfect for salads.",Seafood
779,Fruit Medley Juice,3.49,Food - Beverages,Refreshing juice blend made with various fresh fruits.,Juice
780,Baking Soda,0.99,Food - Baking,Essential ingredient for baking and cooking.,Baking Ingredients
781,Multifunctional Pocket Tool,19.99,Tools,Compact pocket tool with various built-in functions.,Hand Tools
782,Pumpkin Spice Muffins,3.99,Food - Bakery,Moist and flavorful muffins packed with fall spices and pumpkin puree.,Seasonal Items
783,Travel Hair Straightener,29.99,Beauty,Compact hair straightener for travel.,Hair Care Tools
784,Mashed Sweet Potatoes,3.99,Food - Sides,Creamy mashed sweet potatoes with a hint of cinnamon.,Vegetable Sides
785,Sesame Seeds,1.99,Food - Baking,Crunchy seeds perfect for toppings and baking.,Baking Ingredients
786,Pineapple Rings,2.49,Food - Canned Goods,Delicious canned pineapple rings for desserts or salads.,Canned Fruits
787,Fall-Themed Table Runner,19.99,Home,Decorative table runner perfect for autumn gatherings.,Seasonal Home Decor
788,USB Flash Drive,9.99,Storage,32GB USB flash drive with fast data transfer speeds.,Storage Devices
789,Coconut Cream Pie Yogurt,1.99,Food - Dairy Alternatives,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",Plant-Based Yogurt
790,Customizable Name Plate,19.99,Office,Personalized nameplate for offices or homes.,Office Supplies
791,Dried Fruit Medley,5.49,Food - Snacks,A delightful mix of dried fruits for trail mix or snacks.,Sweet Snacks
792,Eggs (dozen),2.99,Food - Dairy,"Farm fresh eggs, essential for breakfast.",Eggs
793,Cranberry Almond Biscotti,4.19,Food - Bakery,Crispy and delicious biscotti flavored with cranberry and almond.,Cookies
794,Sliced Turkey Breast,5.49,Food - Deli Meats,"Oven-roasted sliced turkey, perfect for sandwiches.",Deli Meats
795,Reusable Silicone Food Storage Bags,19.99,Kitchen,Eco-friendly bags for storing food without plastic waste.,Food Storage Solutions
796,Pet Hair Remover,9.99,Pets,Effective roller for removing pet hair from furniture.,Grooming Supplies
797,Magnetic Puzzle Board,24.99,Toys,Magnetic puzzle assembly board for kids.,Educational Toys
798,Dried Fruit Medley,5.49,Food - Snacks,A delightful mix of dried fruits for trail mix or snacks.,Sweet Snacks
799,Cordless Water Flosser,49.99,Health,Rechargeable water flosser for dental hygiene.,Oral Care & Hygiene
800,Classic BBQ Sauce,2.79,Food - Condiments,Smoky and sweet BBQ sauce for grilling and dipping.,BBQ Sauces
801,High-Top Leather Boots,99.99,Clothing - Footwear,Durable high-top leather boots for the stylish adventurer.,Boots
802,Pineapple Teriyaki Chicken Mix,6.99,Food - Meat,A perfect blend of pineapple and teriyaki for stir-fry.,Marinades and Sauces
803,Pasta (Fusilli),1.79,Food - Pasta,Twisted pasta perfect for salads and pasta dishes.,Pasta
804,Artisan Bread,4.59,Food - Bakery,"Freshly baked artisan bread, perfect for sandwiches or toasting.",Breads
805,Travel Luggage Scale,14.99,Travel,Digital scale to avoid overweight baggage fees.,Travel Accessories
806,Portable Pet Bathing Tool,29.99,Pets,Handheld sprayer designed for washing pets easily.,Grooming Supplies
807,Pesto Pasta Sauce,3.99,Food - Sauces,Rich basil pesto sauce for pasta and more.,Pasta Sauces
808,Smoked Paprika,2.99,Food - Spices,Add a smoky flavor to your dishes.,Seasoning Blends
809,Thai Peanut Dressing,3.29,Food - Condiments,A creamy and tangy dressing perfect for salads or as a dipping sauce.,Dressing
810,Set of Silicone Baking Molds,15.99,Kitchen,Flexible molds perfect for baking cakes and pastries.,Baking Accessories
811,Handmade Wooden Utensil Set,24.99,Kitchen,Unique handcrafted utensils for cooking and serving.,Cooking Tools & Utensils
812,Mechanical Pencil Set,19.99,Office,"Precision pencils for drawing, sketching, and writing.",Writing Instruments
813,Fitness Tracker with Heart Rate Monitor,59.99,Fitness,Wearable device to track fitness activities and heart rate.,Wearable Technology
814,Whole Grain Cereal,3.49,Food - Breakfast,"Healthy whole grain cereal, great for breakfast.",Breakfast Cereals
815,Wireless Gaming Mouse,39.99,Gaming,Ergonomic mouse designed for gamers with high DPI.,Gaming Accessories
816,Safety Pin Dispenser,5.99,Office,Handy dispenser for quick access to safety pins.,Office Supplies
817,Ribbed Knit Dress,59.99,Clothing - Dresses,A fitted ribbed knit dress that hugs your curves perfectly.,Casual Dresses
818,Coconut Macaroons,4.99,Food - Confectionery,"Chewy cookies made with coconut, perfect for sweet cravings.",Cookies & Biscuits
819,Travel Mug,18.99,Kitchen,Stainless steel travel mug with spill-proof lid.,Drinkware
820,Pasta Portion Control Measure,9.99,Kitchen,Tool for measuring perfect pasta portions every time.,Cooking Tools & Utensils
821,Customizable Photo Calendar,19.99,Books,Personalized calendar with your favorite photos.,Calendars
822,Utility Cargo Pants,54.99,Clothing - Pants,Practical cargo pants with lots of pockets for functionality.,Work Pants
823,Sketchbook,14.99,Art Supplies,High-quality sketchbook for artists.,Drawing Supplies
824,Wireless Earbud Silicone Covers,9.99,Accessories,Soft silicone earbud covers for comfort and fit.,Tech Accessories
825,Beef Stew Meat,5.99,Food - Meat,Tender beef chunks for slow-cooked stews.,Red Meat
826,Athletic Sports Bra,24.99,Clothing - Activewear,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric.",Activewear Bras
827,Electric Pressure Washer,199.99,Home Improvement,Powerful electric pressure washer for deep cleaning.,Outdoor Cleaning
828,Self-Adhesive Wallpaper,34.99,Home,Peel and stick wallpaper for easy home decor changes.,Decorative Wall Art & Accessories
829,Fitness Jump Rope with LCD Counter,15.99,Fitness,Weighted jump rope that counts jumps and calories burned.,Cardio Equipment
830,Cinnamon Sugar Tortilla Chips,3.29,Food - Snacks,"Crispy chips with a sweet twist, perfect for dipping.",Sweet Snacks
831,Balsamic Salad Dressing,2.99,Food - Deli,"Tangy and sweet balsamic dressing, perfect for salads.",Dips/Spreads
832,Wireless Mouse,25.99,Electronics,Ergonomic wireless mouse with adjustable DPI.,Computer Accessories
833,Camera Tripod,49.99,Photography,Sturdy camera tripod for professional photography.,Camera Accessories
834,Classic Chicken Noodle Soup,3.49,Food - Canned Goods,A comforting soup filled with chicken and noodles in broth.,Soups & Broths
835,Maple Almond Granola,5.49,Food - Breakfast,Crunchy granola with maple flavor and almond pieces for breakfast.,Granola/Cereal
836,Phone Case,14.99,Accessories,Rugged phone case for drop protection.,Mobile Accessories
837,Wrap Front Midi Skirt,44.99,Clothing - Bottoms,"Elegant midi skirt with a wrap design, great for both formal and casual events.",Bottoms
838,Mixed Nuts,5.99,Food - Snacks,"A blend of assorted nuts, perfect for snacking or adding to recipes.",Nuts and Trail Mix
839,Carrot Sticks,2.49,Food - Produce,"Freshly cut carrot sticks, perfect for snacking.",Vegetable Snacks
840,Banana Nut Oatmeal Cups,2.99,Food - Breakfast,"Quick oatmeal cups with banana and nut flavor, great for breakfast.",Healthy Breakfast Options
841,Set of Measuring Spoons,12.99,Kitchen,Stainless steel measuring spoons set for cooking.,Kitchen Gadgets
842,Electric Blanket,59.99,Home,Extra soft electric blanket with adjustable heat settings.,Bedding & Linens
843,Balsamic Glazed Brussels Sprouts,4.99,Food - Vegetables,Roasted Brussels sprouts drizzled with balsamic glaze.,Vegetables
844,Pet Grooming Scissors,16.99,Pets,Quality scissors designed for easy pet grooming.,Grooming Supplies
845,Pet First Aid Kit,29.99,Pets,Essential kit for taking care of your pets' health emergencies.,Pet Health and Care
846,Chickpea Snack Mix,3.49,Food - Snacks,"Crunchy, seasoned chickpeas for a wholesome snack.",Healthy Snacks
847,Organic Brown Rice Cakes,3.99,Food - Snacks,Light and crunchy rice cakes made from organic brown rice.,Healthy Snacks
848,Fitness Resistance Bands Kit,29.99,Fitness,Set with various resistance bands for workouts.,Strength Training Equipment
849,Eco-Friendly Disposable Plates,22.99,Kitchen,Compostable plates suitable for various occasions.,Sustainable Tableware
850,Safety Pin Dispenser,5.99,Office,Handy dispenser for quick access to safety pins.,Office Supplies
851,Granola Clusters,4.99,Food - Cereal,"Crunchy granola clusters, perfect for snacking or topping yogurt.",Granola
852,Oven-Baked Potato Chips,2.79,Food - Snacks,Light and crispy baked potato chips in assorted flavors.,Healthy Snacks
853,Organic Coconut Yogurt,4.49,Food - Dairy,Dairy-free yogurt made from coconut milk.,Dairy Alternatives
854,Pasta (Linguine),1.89,Food - Pasta,"Thin, flat pasta perfect for various sauces.",Pasta
855,Set of Decorative Storage Bins,34.99,Home,Colorful bins to keep your space organized.,Home Organization
856,Insulated Lunch Box,24.99,Kitchen,Durable lunch box designed to keep food fresh and cool.,Food Storage Solutions
857,Peanut Butter,3.79,Food - Condiments,"Creamy and smooth peanut butter, perfect for sandwiches.",Nut Butters
858,Fashionable Belt Bag,34.99,Accessories,Trendy belt bag for hands-free carrying.,Bags
859,Italian Pasta,2.29,Food - Grains,"Authentic Italian pasta, perfect for a classic meal.",Italian Cuisine
860,Vegetable Stir-Fry Kit,6.99,Food - Produce,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook.",Pre-Packaged Produce Kits
861,Buffalo Chicken Dip,5.99,Food - Dips,"Spicy and creamy dip made with shredded chicken, perfect for parties.",Spicy Dips
862,Chili Lime Shrimp,8.99,Food - Seafood,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",Marinated Seafood
863,Fitness Balance Ball,24.99,Fitness,Stability ball for Pilates and yoga workouts.,Fitness Equipment
864,Silicone Baking Mats,19.99,Kitchen,Reusable silicone mats for non-stick baking.,Baking Accessories
865,Pineapple Coconut Bars,3.79,Food - Snacks,Refreshing dessert bars made with pineapple and coconut.,Sweet Snacks
866,Almond Flour,5.99,Food - Baking,"Gluten-free almond flour, perfect for baking.",Flours & Meals
867,Printed Maxi Skirt,39.99,Clothing - Skirts,A colorful printed maxi skirt for a bohemian look.,Skirts
868,Trainers with Mesh Inserts,69.99,Clothing - Footwear,Comfortable trainers with mesh inserts for breathability.,Athletic Footwear
869,Hummus Variety Pack,5.99,Food - Dairy,"A selection of different flavored hummus, great for snacking.",Dairy Alternatives
870,Digital Bullet Journal,24.99,Apps,Stylish digital journaling app for notes and organizing tasks.,Productivity
871,Adjustable Garden Rake,22.99,Garden,Heavy-duty rake with adjustable width for different gardening needs.,Garden Tools
872,Yoga Mat Carrier,12.99,Fitness,Convenient carrier for transporting yoga mat.,Yoga Equipment
873,Vegetable Spiralizer,19.99,Kitchen,Create spiraled vegetable noodles easily for healthy meals.,Food Preparation Tools
874,Honey Roasted Chickpeas,3.29,Food - Snacks,Crispy chickpeas roasted with honey for a sweet and satisfying snack.,Savory Snacks
875,Herbed Goat Cheese,5.49,Food - Cheese,"Tangy goat cheese infused with herbs, perfect for snacking.",Specialty Cheeses
876,Watering Can with Nozzle,19.99,Garden,Stylish watering can for plants with easy pouring nozzle.,Garden Tools
877,Portable Ice Maker,199.99,Kitchen,Compact ice maker for creating ice at home or in offices.,Small Appliances
878,Savory Oatmeal,2.49,Food - Breakfast,Oatmeal made with savory spices and vegetables.,Savory Breakfast Options
879,Chocolate Chip Energy Balls,3.99,Food - Snacks,"No-bake energy balls made with oats, chocolate chips, and honey.",Healthy Snacks
880,Set of Silicone Cooking Utensils,29.99,Kitchen,Non-stick utensils for safe and easy cooking.,Cooking Tools & Utensils
881,Wireless Mouse,25.99,Electronics,Ergonomic wireless mouse with adjustable DPI.,Computer Accessories
882,Basil Pesto Pasta,6.49,Food - Prepared Meals,"Pasta tossed with fresh basil pesto, simple and delicious.",Cuisine - Italian
883,Portable Solar Path Lights,39.99,Outdoor,Eco-friendly solar lights for pathways and gardens.,Garden Supplies
884,Peanut Butter Protein Balls,5.29,Food - Snacks,No-bake energy bites made with peanut butter and oats.,Healthy Snacks
885,Coconut Almond Granola,4.99,Food - Breakfast,"Crunchy granola made with oats, almonds, and coconut flakes.",Granola & Muesli
886,Handheld Garment Steamer,34.99,Home,Quick and easy way to remove wrinkles from clothes.,Home Appliances
887,Creamy Garlic Dressing,3.99,Food - Condiments,"Rich and creamy dressing with garlic flavor, perfect for salads.",Dressing
888,Almond Flour Bread Mix,4.89,Food - Baking,Gluten-free bread mix made with almond flour.,Mixes
889,Honey BBQ Ribs,12.99,Food - Meat,Tender ribs smothered in a honey barbecue sauce.,Barbecue & Grilled Meats
890,Pet Grooming Scissors,16.99,Pets,Quality scissors designed for easy pet grooming.,Grooming Supplies
891,Tuscan Bean Soup,2.49,Food - Canned Goods,A hearty mix of beans in a flavorful tomato broth.,Soups & Broths
892,Honey Mustard Chicken Breasts,8.99,Food - Meat,Marinated chicken breasts coated in a sweet honey mustard glaze.,Processed Meats
893,Travel Makeup Organizer,25.99,Beauty,Compact organizer for cosmetics during travel.,Makeup
894,Organic Quinoa Chips,3.99,Food - Snacks,"Light and crispy chips made from quinoa, ideal for dipping.",Healthy Snacks
895,Beef Tacos,5.49,Food - Meat,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",Prepared Meals
896,Fleece Throw Blanket,29.99,Home,"Super soft fleece blanket, perfect for coziness.",Bedding & Linens
897,Asian Noodle Salad Kit,4.99,Food - Salads,A pre-packaged salad kit with noodles and Asian-style dressing.,Noodle Salads
898,Stuffed Grape Leaves,5.79,Food - Prepared Foods,"Grape leaves stuffed with rice and herbs, ready to eat.",International Cuisine
899,Travel Luggage Scale,14.99,Travel,Digital scale to avoid overweight baggage fees.,Travel Accessories
900,Basic V-Neck T-Shirt,19.99,Clothing - Tops,A staple v-neck t-shirt that pairs well with anything.,T-Shirts
901,Grilled Vegetable Medley,4.49,Food - Vegetables,"A mix of grilled vegetables, ready to heat for quick side dishes.",Vegetable Dishes
902,Mesh Laundry Bags Set,12.99,Home,Laundry bags perfect for delicates and organizing clothes.,Home Organization
903,Wild Rice Pilaf,3.79,Food - Grains,"A mix of wild rice with herbs and spices, ready to serve.",Rice Dishes
904,Lemon Sorbet,4.99,Food - Frozen Desserts,Refreshing sorbet with a zesty lemon flavor.,Fruity Frozen Desserts
905,Outdoor Mosquito Repellent Lantern,34.99,Outdoor,Lantern that repels mosquitoes while providing light.,Garden Supplies
906,Bluetooth Car Adapter,24.99,Automotive,Connect your phone to the car's audio system via Bluetooth.,Automotive Accessories
907,Maple Almond Yogurt,1.89,Food - Dairy,Creamy yogurt made with maple and almond flavors.,Flavored Yogurt
908,Vegetable Curry,5.99,Food - Frozen Foods,A hearty vegetable curry for a quick and satisfying meal.,Frozen Vegetables
909,Chickpea Salad Deluxe,4.29,Food - Produce,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad.",Prepared Salads
910,Digital Bullet Journal,24.99,Apps,Stylish digital journaling app for notes and organizing tasks.,Productivity
911,Mayonnaise,3.29,Food - Condiments,"Creamy mayonnaise, perfect for salads and sandwiches.",Sauces
912,Insulated Coffee Mug,24.99,Kitchen,Double-walled mug to keep your drink hot for longer.,Drinkware
913,Quinoa Salad,5.99,Food - Prepared Foods,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",Ready-to-Eat Meals
914,Pet Travel Bowl,10.99,Pets,Collapsible travel bowl for pets on the go.,Pet Accessories
915,Organic Coconut Oil,8.99,Food - Oils,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care.",Oils
916,Electric Ice Cream Maker,59.99,Kitchen,Make delicious ice cream at home with this user-friendly machine.,Cooking Appliances
917,Trackpad for Laptop,49.99,Accessories,Wireless trackpad for enhanced laptop navigation.,Tech Accessories
918,Bamboo Toothbrush Holder,14.99,Health,Eco-friendly bamboo holder for toothbrushes.,Oral Care & Hygiene
919,Radish Chips,2.89,Food - Snacks,"Crispy baked radish chips, a healthy snack alternative.",Savory Snacks
920,Portable Solar Path Lights,39.99,Outdoor,Eco-friendly solar lights for pathways and gardens.,Garden Supplies
921,Savory Trail Mix,4.29,Food - Snacks,"A blend of nuts, seeds, and spices for a healthy snack.",Nuts and Trail Mix
922,Tea Set with Infuser,34.99,Kitchen,Elegant tea set that includes an infuser for brewing.,Coffee Equipment
923,Tomato Sauce,2.79,Food - Canned Goods,Rich and flavorful tomato sauce for pasta or pizza.,Sauces & Condiments
924,Safety Pin Dispenser,5.99,Office,Handy dispenser for quick access to safety pins.,Office Supplies
925,Golf Putting Green,79.99,Sports,Indoor putting green for practicing your putting skills.,Golf
926,Luxury Bath Salts,19.99,Beauty,Scented bath salts for relaxation and self-care.,Bath & Body
927,Quality Chef Apron,19.99,Kitchen,Durable apron to keep clothes clean while cooking.,Cooking Tools & Utensils
928,Warm Wool Sweater,59.99,Clothing - Tops,Cozy wool sweater to keep you warm on chilly days.,Sweaters
929,Digital Camera,299.99,Electronics,Compact digital camera with 20MP resolution.,Cameras & Photography
930,Silicone Ice Cube Tray,10.99,Kitchen,Flexible tray for easy-release ice cubes.,Ice Cube Trays
931,Electric Razor,59.99,Health,Rechargeable electric razor for a smooth shave.,Personal Care & Grooming
932,Rice Cakes,2.29,Food - Snacks,"Light and crispy rice cakes, a perfect low-calorie snack.",Healthy Snacks
933,Honey Garlic Sauce,2.59,Food - Sauces,A delicious sauce perfect for stir-frying or glazing meats.,Condiments
934,Cheesy Broccoli Soup Mix,2.99,Food - Soups,Just add water for a hearty cheese and broccoli soup in minutes.,Creamy Soups
935,Wooden Kitchen Utensil Set,19.99,Kitchen,Eco-friendly utensil set made from natural wood.,Kitchen Gadgets
936,Organic Vanilla Bean Ice Cream,5.99,Food - Frozen Desserts,"Creamy ice cream made with real vanilla beans, perfect for desserts.",Ice Cream
937,Pet Travel Bed,26.99,Pets,Portable bed for pets while traveling.,Travel Accessories
938,Gardening Fairy Figurines,14.99,Garden,Cute fairy figurines to decorate your garden or potted plants.,Garden Decor
939,Compact Pop-Up Tent,69.99,Outdoor,Easy setup tent perfect for camping and outdoor festivals.,Camping Equipment
940,Creamy Spinach Dip,5.99,Food - Prepared Foods,"Deliciously creamy spinach dip, perfect for parties.",Dips and Spreads
941,Chocolate Chip Pancake Mix,3.99,Food - Bakery,Easy-to-make pancake mix with chocolate chips included.,Baking Mixes
942,Digital Food Scale,22.99,Kitchen,Precision digital scale for accurate cooking measurements.,Food Preparation Tools
943,Kale Salad Kit,4.99,Food - Salads,"Ready-to-eat salad with kale, lemon, and cheese.",Salad Kits
944,Lemon Garlic Shrimp,8.99,Food - Seafood,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling.",Prepared Seafood
945,Buffalo Cauliflower Wings,6.99,Food - Frozen Foods,Crispy cauliflower bites tossed in spicy buffalo sauce.,Frozen Appetizers
946,Travel Laundry Bag,9.99,Travel,Compact laundry bag for travel use.,Travel Accessories
947,Pet Nail Clipper,12.99,Pets,Safe and easy-to-use nail clippers for pets.,Grooming Supplies
948,Vegetarian Stir Fry Sauce,2.49,Food - Condiments,Flavorful sauce perfect for stir-frying vegetables and tofu.,Marinades and Sauces
949,Kale and Quinoa Salad,6.49,Food - Salads,"A nutritious salad with kale, quinoa, and a zesty lemon dressing.",Healthy Salads
950,Bamboo Cotton Tank Top,22.99,Clothing - Tops,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",Sustainable Fashion
951,Ergonomic Mouse Pad with Wrist Support,14.99,Office,Comfortable mouse pad designed to reduce wrist strain.,Office Accessories
952,Frozen Broccoli,2.49,Food - Frozen,"Nutrient-rich broccoli, easy to add to any meal.",Frozen Vegetables
953,Electric Toothbrush,49.95,Health,Rechargeable electric toothbrush with smart timer.,Oral Care & Hygiene
954,Tomato Sauce,2.79,Food - Canned Goods,Rich and flavorful tomato sauce for pasta or pizza.,Sauces & Condiments
955,Bike Helmet,34.99,Bicycles,Lightweight bike helmet with adjustable fit.,Accessories
956,Fitness Tracker,49.99,Fitness,"Track steps, heart rate, and sleep patterns.",Wearable Technology
957,Silicone Baking Molds,15.99,Kitchen,Set of flexible molds for baking cakes and pastries.,Baking Accessories
958,Sweet Potatoes,0.89,Food - Produce,"Sweet and nutritious potatoes, great for roasting.",Root Vegetables
959,Chili Con Carne Mix,2.99,Food - Spices & Seasonings,A spice blend for making flavorful chili con carne.,Seasoning Mixes
960,Children's Educational Puzzle,19.99,Toys,Fun and educational puzzle set for kids.,Educational Toys
961,Homestyle Beef Stew,7.99,Food - Canned Soups,"Hearty beef stew with vegetables, ready to heat and serve.",Soups
962,Sliced Cucumbers,1.29,Food - Produce,"Freshly sliced cucumbers, great for salads or snacking.",Fresh Cut Vegetables
963,Sweet and Sour Sauce,2.79,Food - Condiments,Perfect dipping sauce or stir-fry addition for a sweet and tangy flavor.,Sauces
964,Adjustable Standing Desk,299.99,Office,Ergonomic desk that adjusts height for standing or sitting.,Furniture
965,Maple Breakfast Sausage,5.99,Food - Meat,Savory sausage links with a hint of maple flavor.,Processed Meats
966,Canvas Tote Bag,19.99,Clothing - Accessories,"Durable canvas tote bag, perfect for everyday use.",Bags
967,Portable Pet Stroller,89.99,Pets,Convenient stroller for pets to enjoy outdoor walks.,Pet Accessories
968,Travel Jewelry Organizer,19.99,Accessories,Compact storage for your jewelry while traveling.,Jewelry Storage
969,Whole Wheat Pita Bread,2.79,Food - Bread,"Soft and fluffy whole wheat pita bread, great for wraps.",Whole Grain Breads
970,Banana Nut Oatmeal Cups,2.99,Food - Breakfast,"Quick oatmeal cups with banana and nut flavor, great for breakfast.",Healthy Breakfast Options
971,Peanut Butter Pretzel Bites,4.19,Food - Snacks,Crunchy pretzel bites filled with peanut butter,Nut-Based Snacks
972,Cinnamon Spiced Almonds,5.99,Food - Snacks,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,Nuts and Trail Mix
973,Scent Diffuser,34.99,Home,Ultrasonic essential oil diffuser with LED lights.,Home Fragrance & Accessories
974,Portable Water Filter,29.99,Outdoor,Lightweight water filter for outdoor adventures.,Camping Equipment
975,Overnight Duffle Bag,34.99,Travel,Spacious duffle bag for weekend getaways.,Luggage and Bags
976,Nordic Berry Smoothie,3.99,Food - Frozen Foods,Frozen smoothie blend with berries for a quick and healthy breakfast.,Frozen Fruit Smoothies
977,Desk Lamp with USB Port,29.99,Office,Modern desk lamp that features a built-in USB charging port.,Lighting
978,Pumpkin Spice Muffins,3.99,Food - Bakery,Moist and flavorful muffins packed with fall spices and pumpkin puree.,Seasonal Items
979,Hair Dryer,39.99,Beauty,Compact hair dryer with multiple heat settings.,Hair Care Tools
980,Canvas Wall Art,39.99,Home,Stylish wall art to enhance home decor.,Decorative Wall Art & Accessories
981,Cotton Quilted Throw Blanket,39.99,Home,Cozy throw blanket perfect for adding warmth to your home.,Bedding & Linens
982,Cinnamon Roll Protein Bar,2.99,Food - Snacks,Soft and chewy bar packed with protein and cinnamon flavors.,Protein Snacks
983,Sweet Corn,1.5,Food - Canned Goods,"Tender sweet corn kernels, ready to eat or add to dishes.",Canned Vegetables
984,Phone Screen Protector,12.99,Accessories,Tempered glass screen protector for smartphones.,Mobile Accessories
985,Fitness Tracker with Heart Rate Monitor,59.99,Fitness,Wearable device to track fitness activities and heart rate.,Wearable Technology
986,Beef Stew Meat,5.99,Food - Meat,Tender beef chunks for slow-cooked stews.,Red Meat
987,Pet Bed,39.99,Pets,Comfortable pet bed for small to medium-sized dogs.,Pet Accessories
988,Faux Leather Leggings,49.99,Clothing - Pants,Stylish faux leather leggings for a trendy outfit.,Leggings
989,Flavored Rice Cakes,2.49,Food - Snacks,Light and crunchy rice cakes with a variety of flavors.,Savory Snacks
990,Pasta (Linguine),1.89,Food - Pasta,"Thin, flat pasta perfect for various sauces.",Pasta
991,Almond Butter Crunch Bar,1.99,Food - Snacks,Nutritious snack bar made with almond butter and protein.,Nut-Based Snacks
992,Ergonomic Mouse Pad with Wrist Support,14.99,Office,Comfortable mouse pad designed to reduce wrist strain.,Office Accessories
993,Almond Flour Bread Mix,4.89,Food - Baking,Gluten-free bread mix made with almond flour.,Mixes
994,Self-Cleaning Water Bottle,49.99,Fitness,Water bottle with built-in UV-C light for self-cleaning.,Hydration Gear
995,Flavored Popcorn Mix,2.99,Food - Snacks,Popcorn tossed with sweet or savory flavors for a tasty snack.,Gourmet Snacks
996,Digital Bullet Journal,24.99,Apps,Stylish digital journaling app for notes and organizing tasks.,Productivity
997,High-Speed Hand Blender,39.99,Kitchen,Powerful hand blender for soups and smoothies.,Blenders & Juicers
998,Gardening Gloves with Claws,24.99,Garden,Durable gloves with built-in claws for digging and planting.,Garden Tools
999,Garlic and Herb Rub,2.29,Food - Spices,A seasoning blend of garlic and herbs to enhance any dish.,Herb Blends
1000,Spinach and Feta Stuffed Chicken Breast,8.99,Food - Meat,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",Prepared Meals
